symbol,group,strategy,stop_loss,fit_rating,bars,start_at,end_at,trades,win_rate,profit_factor,total_pnl,average_trade_pnl,max_drawdown,average_hold_bars,best_trade,worst_trade,no_signal_periods,data_issues,notes
GOOGL,Large-cap stocks,Donchian Breakout Strategy,none,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,7,57.14,4.46,194.76,27.82,-56.27,51.71,119.82,-23.62,563,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Donchian Breakout Strategy,5pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,7,57.14,4.46,194.76,27.82,-56.27,51.71,119.82,-23.62,563,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Breakout Strategy,2pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,4.07,122.99,30.75,-40.0,93.5,132.35,-20.0,577,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Donchian Breakout Strategy,3pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,7,57.14,3.71,183.41,26.2,-67.62,51.71,119.82,-30.0,563,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Breakout Strategy,3pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,3.04,109.37,27.34,-53.62,94,132.35,-30.0,578,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Bollinger Reversion Strategy,none,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,11,72.73,2.82,57.68,5.24,-17.84,17.09,22.85,-17.84,537,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Bollinger Reversion Strategy,3pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,11,72.73,2.82,57.68,5.24,-17.84,17.09,22.85,-17.84,537,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Bollinger Reversion Strategy,5pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,11,72.73,2.82,57.68,5.24,-17.84,17.09,22.85,-17.84,537,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Breakout Strategy,none,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,2.7,102.61,25.65,-60.39,94.25,132.35,-36.76,579,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Breakout Strategy,5pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,2.7,102.61,25.65,-60.39,94.25,132.35,-36.76,579,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Bollinger Reversion Strategy,2pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,11,72.73,2.64,55.52,5.05,-20.0,17.09,22.85,-20.0,537,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,EMA Strategy,2pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,3,33.33,8.02,280.72,93.57,-40.0,157.33,320.72,-20.0,584,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,EMA Strategy,3pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,3,33.33,5.35,260.72,86.91,-60.0,158,320.72,-30.0,584,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,EMA Strategy,5pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,3,33.33,3.21,220.72,73.57,-100.0,188.33,320.72,-50.0,584,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Opening Range Breakout Strategy,3pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,14,35.71,2.88,155.0,11.07,-58.71,23.86,121.03,-30.0,561,20,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Opening Range Breakout Strategy,none,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,14,35.71,2.86,154.37,11.03,-59.34,23.93,121.03,-30.62,562,21,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Opening Range Breakout Strategy,5pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,14,35.71,2.86,154.37,11.03,-59.34,23.93,121.03,-30.62,562,21,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Opening Range Breakout Strategy,2pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,15,33.33,2.76,162.24,10.82,-48.71,22.13,121.03,-20.0,560,20,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,RSI Reversion Strategy,2pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,25.0,2.11,66.43,16.61,-60.0,47,126.43,-20.0,587,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,RSI Reversion Strategy,3pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,3,33.33,2.11,66.43,22.14,-60.0,70.67,126.43,-30.0,588,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,ADX Trend Strategy,none,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,36,38.89,1.6,49.94,1.39,-33.81,7.64,25.69,-11.04,39,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,ADX Trend Strategy,3pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,36,38.89,1.6,49.94,1.39,-33.81,7.64,25.69,-11.04,39,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,ADX Trend Strategy,5pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,36,38.89,1.6,49.94,1.39,-33.81,7.64,25.69,-11.04,39,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,VWAP Strategy,none,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,8,37.5,1.51,19.05,2.38,-19.31,13,37.1,-12.58,549,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,VWAP Strategy,2pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,8,37.5,1.51,19.05,2.38,-19.31,13,37.1,-12.58,549,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,VWAP Strategy,3pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,8,37.5,1.51,19.05,2.38,-19.31,13,37.1,-12.58,549,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,VWAP Strategy,5pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,8,37.5,1.51,19.05,2.38,-19.31,13,37.1,-12.58,549,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,ADX Trend Strategy,2pct,Acceptable Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,37,40.54,1.47,46.56,1.26,-39.6,7.41,25.69,-20.0,38,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,EMA Strategy,none,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,1,100.0,229.03,229.03,229.03,0.0,588,229.03,229.03,586,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,RSI Reversion Strategy,none,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,1,100.0,45.77,45.77,45.77,0.0,225,45.77,45.77,590,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,RSI Reversion Strategy,5pct,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,2,50.0,2.53,76.43,38.22,-50.0,95,126.43,-50.0,589,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,Pullback Strategy,none,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,Pullback Strategy,2pct,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,Pullback Strategy,3pct,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,Pullback Strategy,5pct,Watch / Needs More Data,626,2026-02-05T21:15:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403,0,Needs more closed trades before relying on this pairing.
GOOGL,Large-cap stocks,Relative Strength Strategy,none,Not Recommended,626,2026-02-05T21:15:00,2026-05-08T19:45:00,25,28.0,0.99,-0.77,-0.03,-45.15,1.84,37.1,-11.78,363,304,Weak profit factor in the available sample.
GOOGL,Large-cap stocks,Relative Strength Strategy,2pct,Not Recommended,626,2026-02-05T21:15:00,2026-05-08T19:45:00,25,28.0,0.99,-0.77,-0.03,-45.15,1.84,37.1,-11.78,363,304,Weak profit factor in the available sample.
GOOGL,Large-cap stocks,Relative Strength Strategy,3pct,Not Recommended,626,2026-02-05T21:15:00,2026-05-08T19:45:00,25,28.0,0.99,-0.77,-0.03,-45.15,1.84,37.1,-11.78,363,304,Weak profit factor in the available sample.
GOOGL,Large-cap stocks,Relative Strength Strategy,5pct,Not Recommended,626,2026-02-05T21:15:00,2026-05-08T19:45:00,25,28.0,0.99,-0.77,-0.03,-45.15,1.84,37.1,-11.78,363,304,Weak profit factor in the available sample.
META,Large-cap stocks,RSI Reversion Strategy,none,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,3,100.0,46.25,46.25,15.42,0.0,86.67,23.65,5.12,588,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,RSI Reversion Strategy,5pct,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,3,100.0,46.25,46.25,15.42,0.0,86.67,23.65,5.12,588,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Donchian Breakout Strategy,none,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,50.0,6.2,25.35,6.34,-4.87,62,26.58,-4.39,556,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Donchian Breakout Strategy,3pct,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,50.0,6.2,25.35,6.34,-4.87,62,26.58,-4.39,556,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Donchian Breakout Strategy,5pct,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,50.0,6.2,25.35,6.34,-4.87,62,26.58,-4.39,556,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,RSI Reversion Strategy,3pct,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,75.0,2.31,39.4,9.85,-30.0,63.75,28.26,-30.0,587,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,RSI Reversion Strategy,2pct,Strong Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,5,60.0,1.73,29.4,5.88,-40.0,50.6,28.26,-20.0,586,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Breakout Strategy,none,Acceptable Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,25.0,1.08,2.0,0.5,-18.77,65,26.58,-18.77,573,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Breakout Strategy,3pct,Acceptable Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,25.0,1.08,2.0,0.5,-18.77,65,26.58,-18.77,573,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,Breakout Strategy,5pct,Acceptable Fit,621,2026-02-05T21:45:00,2026-05-08T19:45:00,4,25.0,1.08,2.0,0.5,-18.77,65,26.58,-18.77,573,0,Historically tested starting point; not a guarantee.
META,Large-cap stocks,EMA Strategy,none,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,1,0.0,0.0,-90.05,-90.05,-90.05,513,-90.05,-90.05,586,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Pullback Strategy,none,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,250,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Pullback Strategy,2pct,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,250,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Pullback Strategy,3pct,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,250,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Pullback Strategy,5pct,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,250,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Momentum Strategy,none,Watch / Needs More Data,621,2026-02-05T21:45:00,2026-05-08T19:45:00,2,0.0,0.0,-20.1,-10.05,-20.1,147,-3.41,-16.69,609,0,Needs more closed trades before relying on this pairing.
META,Large-cap stocks,Donchian Breakout Strategy,2pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,5,40.0,1.04,0.93,0.19,-20.0,39,22.16,-20.0,555,0,Weak profit factor in the available sample.
META,Large-cap stocks,Bollinger Reversion Strategy,3pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,22,36.36,0.65,-41.09,-1.87,-55.98,12.73,22.35,-30.0,505,0,Weak profit factor in the available sample.
META,Large-cap stocks,Bollinger Reversion Strategy,5pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,22,36.36,0.55,-61.09,-2.78,-75.98,12.73,22.35,-50.0,505,0,Weak profit factor in the available sample.
META,Large-cap stocks,Opening Range Breakout Strategy,2pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,12,33.33,0.54,-50.87,-4.24,-67.77,23.42,37.25,-20.0,557,21,Weak profit factor in the available sample.
META,Large-cap stocks,Bollinger Reversion Strategy,none,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,22,36.36,0.54,-63.59,-2.89,-78.48,12.77,22.35,-52.5,506,0,Weak profit factor in the available sample.
META,Large-cap stocks,Bollinger Reversion Strategy,2pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,22,31.82,0.5,-70.89,-3.22,-85.77,11.91,22.35,-20.0,503,0,Weak profit factor in the available sample.
META,Large-cap stocks,Opening Range Breakout Strategy,5pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,11,36.36,0.49,-62.89,-5.72,-96.1,28.09,37.25,-50.0,559,22,Weak profit factor in the available sample.
META,Large-cap stocks,Breakout Strategy,2pct,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,5,20.0,0.48,-23.64,-4.73,-40.0,41.4,22.16,-20.0,572,0,Weak profit factor in the available sample.
META,Large-cap stocks,Relative Strength Strategy,none,Not Recommended,621,2026-02-05T21:45:00,2026-05-08T19:45:00,13,30.77,0.48,-15.68,-1.21,-23.13,1.92,6.99,-10.85,345,301,Weak profit factor in the available sample.
